Source,https://words.hk/faiman/analysis/existingwordcount/
P,1238
一,41901
一切,499
一味,48
一日,634
一早,348
一樣,1871
一無所有,7
一直,1005
丈,55
上,8519
下,9068
不,12541
不合,54
不同,117
不單,49
不如,721
不少,71
不斷,530
不歡而散,13
不用,62
不足,113
不過,2472
世,3214
世界,1623
並,882
中,6762
中國,517
中外,113
中文,388
中文字,10
中樂,13
之,8350
乜,2006
九,793
九流,6
了,2222
了得,7
事,6464
二,2198
五,1348
亞,526
交,1180
交貨,6
亦,3558
亦都,1403
人,26801
人世,33
人家,159
人話,245
今,2836
仍,1037
仍然,903
他,2438
他人,436
他日,42
代,2002
以,14504
以至,98
仲,5390
任,1497
任何,710
份,1686
企,1790
伐,49
伯,357
估,1022
但,10168
但係,4987
位,2075
低,1742
住,7155
何,1716
作,3154
作品,258
作曲,21
你,24328
你死我活,2
佢,21591
來,4556
來者,50
例,1371
例如,688
供,327
依,3517
依家,2830
便,536
係,60185
係咁,1761
係咪,1372
保,1026
保證,49
俠,54
信,2092
信心,91
俱,70
個,27236
個個,345
值,790
做,7772
偷,376
偷渡,13
傳,1181
傳媒,56
價,863
價值,324
充,414
充滿,154
先,5651
入,4938
全,3640
兩,3465
八,1010
八字,16
兵,291
其,6668
其他,1466
其實,3468
其餘,47
典,478
再,4976
出,9672
出名,113
刀,346
分,4156
分別,287
切,913
判,335
別,1150
利,1405
到,19257
制,868
制約,5
刻,2256
則,738
前,3864
創,336
創作,105
劃,308
劇,598
劇本,50
劍,174
加,2645
勝,356
匠,38
匡,39
區,912
十,3149
千,1048
千禧,9
南,417
南下,17
南亞,22
印,476
印象,185
印象中,23
即,3490
即係,1099
即管,28
又,8602
友,2964
反,2200
叔,600
取,595
取得,34
受,1772
受到,230
受歡迎,59
口,3139
古,702
古今,14
古今中外,3
句,2310
另,1337
另外,350
只,5671
叫,3321
叫做,284
可,11674
可以,6999
可能,2470
史,917
各,886
各地,53
合,1496
合埋,55
同,15304
同埋,1068
名,1994
否,417
否則,123
告,490
呢,14931
呢個,4657
呢啲,1125
周,571
味,903
咁,17052
和,766
和而不同,2
咩,6829
咪,3133
品,1214
哈,2613
哈哈,1774
哼,168
唔,35486
唔係,5674
唔好,2799
唯,454
唯獨,23
商,472
商業,59
問,4772
啦,7259
啲,6995
善,365
單,1970
嗯,173
嘻,203
器,273
噱,6
噱頭,6
四,1707
國,3455
在,3051
地,10402
地位,107
地方,921
坐,1065
坐擁,4
垃圾,286
埋,3523
埠,14
執,622
執笠,28
基,904
基本,394
堅,450
堅持,190
堆,663
報,1004
場,1968
填,202
填詞,54
壇,117
外,2558
多,9955
夠,1962
大,14640
大家,2678
大市,15
大概,466
天,2661
天馬行空,5
套,648
好,25039
好友,46
好多,2554
好彩,237
好睇,177
如,7019
如果,3434
始,2274
威,440
媒,174
子,2605
字,2871
孫,149
孫悟空,6
學,5446
宇,141
宇宙,82
安,1339
安插,10
完,3883
完全,1569
宙,85
定,4896
定還是,16
家,9128
家傳,5
家傳戶曉,1
家底,8
容,1173
富,358
寢,23
實,6141
實在,320
寫,2591
寫字,44
將,2608
專,589
專人,8
專欄,17
對,6227
對準,5
小,3443
小說,253
少,3987
尖,249
尚,195
尤,367
尤其,253
尤其是,149
就,18341
就係,3811
就好,670
就算,1241
尾,653
屋,1595
屋企,1143
山,904
左,7146
巨,135
己,6161
已,5431
已經,4839
市,1120
市民,194
師,1270
常,1950
常規,3
干,121
干擾,9
年,5848
年代,287
幻,258
幻想,119
幾,6624
幾多,625
底,976
府,654
度,5336
度橋,1
庸,123
廢,484
廢寢忘餐,6
廣,1138
廣告,82
廣大,17
引,647
強,1075
強調,112
形,955
形容,179
彩,446
影,1442
往,758
後,9615
後世,28
後輩,8
得,13319
得到,436
得過,73
得閒,157
從,1403
從政,16
心,6440
必,1064
必然,155
必要,127
忘,255
快,2226
怕,617
悟,120
情,3577
情況,621
想,6333
意,5370
態,702
態度,119
慘,396
憂,102
應,3429
應該,2070
懶,269
懶洋洋,12
成,6465
成名,12
成就,80
成日,875
我,45209
或,2553
或者,1925
戶,141
所,6261
所以,2804
所有,929
所謂,699
手,4460
才,559
才子,12
打,4127
打得,49
扣,116
折,176
折腰,4
拖,588
拗,114
拳,205
持,1107
指,1218
指手劃腳,5
挽,48
挽鞋,1
推,886
推廣,64
提,1350
插,355
換,689
搞,1790
搞到,306
搞笑,41
搵,2238
搵錢,40
摸,260
播,275
撻,61
擁,176
擔,452
擔任,11
據,568
擦,105
擦鞋,17
擾,112
收,1485
收錢,23
改,1016
改朝換代,2
政,1555
政府,566
故,1121
故事,470
敢,448
散,518
數,2037
數字,141
文,5973
文人,37
文字,239
文學,492
文章,228
文采,4
斗,56
料,609
料理,12
斯,638
斷,1076
斷估,39
方,3688
方便,138
方面,373
於,5076
旁,260
旁人,56
旅,313
旅遊,64
旋,93
旋即,8
族,450
既,18308
日,6929
日前,21
日本,461
早,1340
早已,169
明,3915
昔,34
昔日,21
是,4743
時,9520
時代,259
暢,85
曉,97
曲,362
更,2465
更加,799
曾,618
曾經,383
最,5357
最多,247
最後,1517
會,16021
會長,26
月,1380
有,27113
有啲,917
有聲,27
有聲有色,3
有關,266
望,3148
朝,425
期,1820
未,2789
本,4772
本來,496
本身,501
杯,405
東,1385
東南,32
東南亞,14
林,1874
果,7996
根,1429
根據,151
根本,1058
格,961
梗,483
梗係,412
條,2618
業,1096
極,1185
極為,62
概,674
槍,227
樂,1193
樣,6247
橋,281
機,2891
機會,674
機關,32
機關槍,5
欄,78
次,4103
歡,442
歡迎,168
正,3479
正如,142
正所謂,54
此,1340
武,349
武俠,20
武林,15
歷,755
歷史,409
歸,411
死,3258
死過,22
比,2225
比較,455
毫,377
毫無,156
民,1922
氣,2317
水,2471
永,471
永不,15
求,1301
江,175
沫,41
沽,15
況,924
泉,62
法,3929
泡,103
泡沫,19
洋,331
活,1156
流,1354
流行,128
深,1216
深究,12
混,207
混合,18
渡,108
港,4609
準,654
準時,49
滿,870
演,635
演藝,8
濟,458
濫,57
濫竽充數,2
瀾,25
炸,362
炸開,1
為,9785
無,12931
無人,698
無機,18
無謂,149
然,11312
然後,2453
照,793
照樣,85
熟,525
熟悉,115
爆,816
爆破,14
爬,85
爭,697
片,776
版,420
版稅,2
物,1750
物價,6
獨,620
獨沽一味,1
王,923
現,3270
