Id,Chinese,Roman,English,Type
POJIN5R4,,,#Upper Beginner Lesson 1,
2CBXIQ4I,,,##Dialog,
XQE4AWGA,請問郵局喺邊？,cing2 man6 jau4 guk2 hai2 bin1?,"Excuse me, where is the post office?",
LXX8BLYX,呢度就係，你要寄咩？,"ni1 dou6 zau6 hai6, nei5 jiu3 gei3 me1?",It's right here. What do you want to mail?,
Z8A9TGH5,想寄封信。,soeng2 gei3 fung1 seon3.,I want to mail a letter.,
RQ98IHBI,填好地址未？,tin4 hou2 dei6 zi2 mei6?,Filled out the address yet?,
L2FUTATR,填好晒。,tin4 hou2 saai3.,Yes. It's done.,
VYGSYFKY,郵票貼好未？,jau4 piu3 tip3 hou2 mei6?,Put on a stamp yet?,
XKXBJO76,貼好咗啦。,tip3 hou2 zo2 laa6.,"Yes, it's done.",
HY8UZQF9,咁交俾我啦。,gam2 gaau1 bei2 ngo5 laa1.,Then give it to me.,
G157JEAH,不過封信未寫好。,bat1 gwo3 fung1 seon3 mei6 se2 hou2.,"But the letter's not finished, though.",
UYTTNUE3,,,##Vocabulary,
DV0XMKMG,收件人,sau1 gin2 jan4,receiver,noun
DM1W84ZK,郵局,jau4 guk2,post office,noun
TN08R7US,信,seon3,letter,noun
VCVVHQYK,填,tin4,to fill (out) a form,verb
76KXGDSX,包裹,baau1 gwo2,package,noun
J34GX9CT,郵票,jau4 piu3,stamp,noun
SNNX8N99,寄件人,gei3 gin2 jan4,sender,noun
5K8QAN1V,地址,dei6 zi2,address,noun
E76D0S7T,請問,cing2 man6,may I ask,phrase
G9ZD0VPP,,,##Sample Sentences,
DTCG2AEH,收件人收到份包裹。,sau1 gin2 jan4 sau1 dou3 fan6 baau1 gwo2.,The receiver got the package.,
BFZZ0EF9,郵局喺銀行附近。,jau4 guk2 hai2 ngan4 hong4 fu6 gan6.,The post office is near the bank.,
06CUJQNB,呢度有冇郵局？,ni1 dou6 jau5 mou5 jau4 guk2？,Is there a post office near here? ,
RZ0E0WF1,我尋日寫咗封信俾你。,ngo5 cam4 jat6 se2 zo2 fung1 seon3 bei2 nei5.,I wrote you this letter yesterday.,
NHOL8Q5L,請填好呢份表格。,cing2 tin4 hou2 ni1 fan6 biu2 gaak3.,Please fill out this form. ,
PUN9J6PQ,你有一個包裹。,nei5 jau5 jat1 go3 baau1 gwo2。,You have a package.,
TX9CDBIO,請喺信封上貼上郵票。,cing2 hai2 seon3 fung1 soeng6 tip3 soeng5 jau4 piu3.,Please put a stamp on the envelope.,
P2HV6L7L,寄件人寄出咗份信件。,gei3 gin2 jan4 gei3 ceot1 zo2 fan6 seon3 gin2.,The sender mails the letter.,
GCGKDUEH,你個電郵地址係咩？,nei5 go3 din6 jau4 dei6 zi2 hai6 me1.,What is your email address?,
XGVDCHTX,運貨需要一個運貨地址。,wan6 fo3 seoi1 jiu3 jat1 go3 wan6 fo3 dei6 zi2.,The shipping form needs to include a shipping address.,
9IYXNEZJ,唔好意思，請問郵局喺邊？,"m4 hou2 ji3 si1, cing2 man6 jau4 guk2 hai2 bin1?","Excuse me, where is the post office?",
NP75OL61,,,##Grammar,
8XWEFGK9,填好晒個地址,tin4 hou2 saai3 go3 dei6 zi2,to have filled out the address,
